Date,Open,High,Low,Close,Adj Close,Range,daily_delta,percentage_delta,Volume,Event,Category
9/3/2020,1592.469971,1592.469971,1538.530029,1544.680054,1544.680054,53.939942,-47.609985,-2.990032207,4911830000,0,2
9/4/2020,1546.640015,1563.380005,1501.52002,1535.300049,1535.300049,61.859985,-9.380005,-0.607245816,4438720000,0,0
9/7/2020,1546.640015,1563.380005,1501.52002,1535.300049,1535.300049,61.859985,-9.380005,-0.607245816,4438720000,0,0
9/8/2020,1534.369995,1534.369995,1499.829956,1504.589966,1504.589966,34.540039,-30.710083,-2.000265878,4694330000,0,2
9/9/2020,1505.089966,1532.910034,1505.089966,1526.47998,1526.47998,27.820068,21.890014,1.45488236,3932520000,0,0
9/10/2020,1526.869995,1543.430054,1507.72998,1507.75,1507.75,35.700074,-18.72998,-1.227004628,4208630000,1,0
9/11/2020,1508.800049,1515.969971,1484.949951,1497.27002,1497.27002,31.02002,-10.47998,-0.695074117,3710090000,1,0
9/14/2020,1499.380005,1538.5,1499.380005,1536.969971,1536.969971,39.119995,39.699951,2.651489075,3839580000,1,1
9/15/2020,1538.540039,1551.02002,1535.640015,1538.150024,1538.150024,15.380005,1.180053,0.076777883,4057190000,1,0
9/16/2020,1539.27002,1572.060059,1539.27002,1552.329956,1552.329956,32.790039,14.179932,0.921882247,4718900000,1,0
9/17/2020,1550.140015,1550.140015,1526.550049,1542.599976,1542.599976,23.589966,-9.72998,-0.626798443,4379840000,1,0
9/18/2020,1544.339966,1556.380005,1519.76001,1536.780029,1536.780029,36.619995,-5.819947,-0.377281673,7076400000,1,0
9/21/2020,1533.920044,1533.920044,1470.439941,1485.25,1485.25,63.480103,-51.530029,-3.353116778,4836070000,1,2
9/22/2020,1486.050049,1497.810059,1474.48999,1496.959961,1496.959961,23.320069,11.709961,0.788416832,3974510000,1,0
9/23/2020,1496.969971,1503.97998,1451.410034,1451.459961,1451.459961,52.569946,-45.5,-3.039493452,4378650000,0,2
9/24/2020,1450.839966,1474.02002,1432.569946,1451.819946,1451.819946,41.450074,0.359985,0.02480158,4601920000,0,0
9/25/2020,1450.97998,1478.949951,1445.699951,1474.910034,1474.910034,33.25,23.090088,1.590423665,3803330000,0,0
9/28/2020,1477.430054,1514.329956,1477.430054,1510.339966,1510.339966,36.899902,35.429932,2.402175806,3950910000,0,1
9/29/2020,1510.199951,1512.219971,1492.52002,1504.72998,1504.72998,19.699951,-5.609986,-0.371438625,3661590000,0,0
9/30/2020,1504.839966,1528.01001,1498.290039,1507.689941,1507.689941,29.719971,2.959961,0.196710442,4738640000,0,0
10/1/2020,1508.599976,1531.920044,1508.599976,1531.199951,1531.199951,23.320068,23.51001,1.559339846,4076340000,0,0
10/2/2020,1527.589966,1544.5,1498.109985,1539.300049,1539.300049,46.390015,8.100098,0.529003282,3975180000,0,0
10/5/2020,1541.199951,1582.660034,1541.199951,1581.959961,1581.959961,41.460083,42.659912,2.771383788,3692720000,0,1
10/6/2020,1584.48999,1619.209961,1577.290039,1577.290039,1577.290039,41.919922,-4.669922,-0.295198495,4453390000,0,0
10/7/2020,1581.119995,1614.609985,1581.119995,1611.040039,1611.040039,33.48999,33.75,2.139745967,3814750000,0,1
